WKT,objectid,facilityid,accountid,metservice,servicetype,installdate,locdesc,rotation,locationid,critical,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.416952584882 37.8085396900112),32,,,,HOSEBIB,,,,,,1,,1,,,,{29AEF2DC-EAD2-44D2-9146-1855EE9F279B},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,29AEF2DC-EAD2-44D2-9146-1855EE9F279B
POINT (-122.416949271591 37.8084908216087),33,,,,HOSEBIB,,,,,,1,,1,,,,{0CF1FBDE-8059-44E0-AA29-F05196D991F3},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,0CF1FBDE-8059-44E0-AA29-F05196D991F3
POINT (-122.416907820731 37.808538352007),34,,,,HOSEBIB,,,,,,1,,1,,,,{BE980C5C-3934-4B14-8CBD-AC6B6CC47773},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,BE980C5C-3934-4B14-8CBD-AC6B6CC47773
POINT (-122.416870411351 37.8085374459908),35,,,,HOSEBIB,,,,,,1,,1,,,,{FF77E920-24E0-43D9-852F-85C737FDAA7F},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,FF77E920-24E0-43D9-852F-85C737FDAA7F
POINT (-122.416819190957 37.8085383604723),36,,,,HOSEBIB,,,,,,1,,1,,,,{5FBA8EB3-2867-4EA4-B433-AAE8A4EA43EE},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,5FBA8EB3-2867-4EA4-B433-AAE8A4EA43EE
POINT (-122.416759767234 37.808483319567),37,,,,HOSEBIB,,,,,,1,,1,,,,{F1D482CC-9556-4AF0-8C4E-921B62E4E7E1},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,F1D482CC-9556-4AF0-8C4E-921B62E4E7E1
POINT (-122.416724498141 37.808536756907),38,,,,HOSEBIB,,,,,,1,,1,,,,{143CC13C-F43A-4FE9-AF97-1C941B36ED0C},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,143CC13C-F43A-4FE9-AF97-1C941B36ED0C
POINT (-122.416661992137 37.8084788749602),39,,,,HOSEBIB,,,,,,1,,1,,,,{A250F113-4821-48F3-9507-5DD76CCBF74E},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,A250F113-4821-48F3-9507-5DD76CCBF74E
POINT (-122.416634559068 37.8085371325769),40,,,,HOSEBIB,,,,,,1,,1,,,,{22AC4FC5-2834-40BD-8B07-6390536655B0},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,22AC4FC5-2834-40BD-8B07-6390536655B0
POINT (-122.416589634171 37.8085332196003),41,,,,HOSEBIB,,,,,,1,,1,,,,{81281900-F87B-497D-B2ED-0021B63766C6},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,81281900-F87B-497D-B2ED-0021B63766C6
POINT (-122.416571622581 37.8084768288149),42,,,,HOSEBIB,,,,,,1,,1,,,,{524018A3-3B52-44CD-94FA-F409C0871A66},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,524018A3-3B52-44CD-94FA-F409C0871A66
POINT (-122.416480434564 37.8084726906708),43,,,,HOSEBIB,,,,,,1,,1,,,,{CCF6785E-F2E1-4D0D-B96D-A0C47DE5B3A9},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,CCF6785E-F2E1-4D0D-B96D-A0C47DE5B3A9
POINT (-122.385347682106 37.7897444962028),44,,,,SWSC,1937-07-01T00:00:00.000,,,,,1,,1,,2010-12-01T00:00:00.000,JS,{FA128BFF-5DDE-4A57-B20B-2C1ADDEC7CDA}, FIRE BOAT CONNECTION,,ACT,FA128BFF-5DDE-4A57-B20B-2C1ADDEC7CDA
POINT (-122.415745728431 37.8093933767241),45,,,,SWSC,,,,,,1,,1,,2010-12-02T00:00:00.000,JS,{EB5C4CDB-581C-49E6-BB26-E6BCEFD66031}, ,301-2.tif,INACT,EB5C4CDB-581C-49E6-BB26-E6BCEFD66031
POINT (-122.416343096825 37.8097877579132),46,,,,SWSC,,,,,,1,,1,,2010-12-02T00:00:00.000,JS,{E6671612-CBE2-44C6-83A0-DF8ED966465D}, ,301-2.tif,INACT,E6671612-CBE2-44C6-83A0-DF8ED966465D
POINT (-122.416856270245 37.8101265489226),47,,,,SWSC,,,,,,1,,1,,2010-12-02T00:00:00.000,JS,{5AD9EF6D-17FC-441F-9309-E69014772ADB}, ,301-2.tif,INACT,5AD9EF6D-17FC-441F-9309-E69014772ADB
POINT (-122.41738516522 37.8104751054408),48,,,,SWSC,,,,,,1,,1,,2010-12-02T00:00:00.000,JS,{54EC5EEC-4E13-408F-A7B9-13BCE3227FCE}, ,301-2.tif,INACT,54EC5EEC-4E13-408F-A7B9-13BCE3227FCE
POINT (-122.417613653434 37.8093150231924),49,,,,SWSC,,,,,,1,,1,,2010-12-02T00:00:00.000,JS,{4C2A3EF7-4769-40FB-B706-0C18A71181E7}, ,301-2.tif,INACT,4C2A3EF7-4769-40FB-B706-0C18A71181E7
